Entry	Entry Name	Protein names	Organism	Organism (ID)
A0A0M9VVY6	A0A0M9VVY6_ESCWE	Cutinase transcription factor 1 alpha	Escovopsis weberi	150374
A0A0M9WDQ3	A0A0M9WDQ3_9EURO	Cutinase	Penicillium nordicum	229535
A0A0M9WNS4	A0A0M9WNS4_RHORH	Cutinase	Rhodococcus rhodochrous KG-21	1441923
A0A0N0DBA4	A0A0N0DBA4_FUSLA	Cutinase transcription factor 1 beta	Fusarium langsethiae	179993
A0A0N0DC56	A0A0N0DC56_FUSLA	Cutinase transcription factor 1 beta	Fusarium langsethiae	179993
A0A0N0DC60	A0A0N0DC60_FUSLA	Cutinase transcription factor 1 beta	Fusarium langsethiae	179993
A0A0N0DCK1	A0A0N0DCK1_FUSLA	Cutinase transcription factor 1 beta	Fusarium langsethiae	179993
A0A0N0DDK4	A0A0N0DDK4_FUSLA	Cutinase 1	Fusarium langsethiae	179993
A0A0N0DF91	A0A0N0DF91_FUSLA	Cutinase transcription factor 1 beta	Fusarium langsethiae	179993
A0A0N0NJ95	A0A0N0NJ95_9EURO	Cutinase transcription factor 1 beta	Cyphellophora attinorum	1664694
A0A0N0NL37	A0A0N0NL37_9EURO	Cutinase gene palindrome-binding protein	Cyphellophora attinorum	1664694
A0A0N0NMW9	A0A0N0NMW9_9EURO	Cutinase transcription factor 1 beta	Cyphellophora attinorum	1664694
A0A0N0NPR9	A0A0N0NPR9_9EURO	Cutinase transcription factor 1 alpha	Cyphellophora attinorum	1664694
A0A0N0NQW2	A0A0N0NQW2_9EURO	Cutinase transcription factor 1 beta	Cyphellophora attinorum	1664694
A0A0N0RT90	A0A0N0RT90_ESCWE	Cutinase transcription factor 1 beta	Escovopsis weberi	150374
A0A0N0S191	A0A0N0S191_RHORH	Cutinase	Rhodococcus rhodochrous KG-21	1441923
A0A0N0V4K7	A0A0N0V4K7_FUSLA	Cutinase transcription factor 1 alpha	Fusarium langsethiae	179993
A0A0N1CI68	A0A0N1CI68_9MYCO	Cutinase	Mycobacteroides immunogenum	83262
A0A0N1GXG0	A0A0N1GXG0_9EURO	Cutinase transcription factor 1 beta	Cyphellophora attinorum	1664694
A0A0N1H3U0	A0A0N1H3U0_9EURO	Cutinase transcription factor 1 beta	Cyphellophora attinorum	1664694
A0A0N1H5Y7	A0A0N1H5Y7_9EURO	Cutinase transcription factor 1 beta	Cyphellophora attinorum	1664694
A0A0N1H919	A0A0N1H919_9EURO	Cutinase transcription factor 1 beta	Cyphellophora attinorum	1664694
A0A0N1HBW1	A0A0N1HBW1_9EURO	Cutinase transcription factor 1 beta	Cyphellophora attinorum	1664694
A0A0N1HFD0	A0A0N1HFD0_9EURO	Cutinase transcription factor 1 beta	Cyphellophora attinorum	1664694
A0A0N1HSV5	A0A0N1HSV5_9EURO	Cutinase transcription factor 1 beta	Cyphellophora attinorum	1664694
A0A0N1IWN0	A0A0N1IWN0_9BACL	PET hydrolase/cutinase-like domain-containing protein	Paenibacillus xylanivorans	1705561
A0A0N1J2F1	A0A0N1J2F1_FUSLA	Cutinase transcription factor 1 beta	Fusarium langsethiae	179993
A0A0N1NZY8	A0A0N1NZY8_9EURO	Cutinase transcription factor 1 beta	Cyphellophora attinorum	1664694
A0A0N1P395	A0A0N1P395_9EURO	Cutinase	Cyphellophora attinorum	1664694
A0A0N7H9B8	A0A0N7H9B8_MYCFO	Cutinase	Mycolicibacterium fortuitum (Mycobacterium fortuitum)	1766
A0A0N7LBI4	A0A0N7LBI4_9BASI	Cutinase	Ceraceosorus bombacis	401625
A0A0N8H5H6	A0A0N8H5H6_9HYPO	Cutinase transcription factor 1 alpha	Neonectria ditissima	78410
A0A0N8H6H9	A0A0N8H6H9_9HYPO	Cutinase transcription factor 1 beta	Neonectria ditissima	78410
A0A0N8H7B9	A0A0N8H7B9_9HYPO	Cutinase transcription factor 1 beta	Neonectria ditissima	78410
A0A0N9IER5	A0A0N9IER5_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Kibdelosporangium phytohabitans	860235
A0A0N9ND05	A0A0N9ND05_9ACTN	Cutinase	Gordonia phthalatica	1136941
A0A0N9XD15	A0A0N9XD15_MYCFO	Cutinase	Mycolicibacterium fortuitum (Mycobacterium fortuitum)	1766
A0A0N9XPL4	A0A0N9XPL4_MYCFO	Serine esterase, cutinase family	Mycolicibacterium fortuitum (Mycobacterium fortuitum)	1766
A0A0N9XZB6	A0A0N9XZB6_MYCFO	Cutinase family protein	Mycolicibacterium fortuitum (Mycobacterium fortuitum)	1766
A0A0N9YIW9	A0A0N9YIW9_MYCFO	Serine esterase, cutinase family	Mycolicibacterium fortuitum (Mycobacterium fortuitum)	1766
A0A0P0CBN1	A0A0P0CBN1_9BACT	PET hydrolase/cutinase-like domain-containing protein	Rufibacter tibetensis	512763
A0A0P0ZE81	A0A0P0ZE81_SAIFL	Cutinase-like enzyme	Saitozyma flava (Cryptococcus flavus)	5416
A0A0P1BA83	A0A0P1BA83_9BASI	Cutinase	Ceraceosorus bombacis	401625
A0A0P1BK80	A0A0P1BK80_9BASI	Cutinase	Ceraceosorus bombacis	401625
A0A0P6Y1E9	A0A0P6Y1E9_9CHLR	PET hydrolase/cutinase-like domain-containing protein	Herpetosiphon geysericola	70996
A0A0P7AEI9	A0A0P7AEI9_9HYPO	Cutinase gene palindrome-binding protein	Neonectria ditissima	78410
A0A0P7AGS0	A0A0P7AGS0_9HYPO	Cutinase	Neonectria ditissima	78410
A0A0P8X0D6	A0A0P8X0D6_PSEFL	Cutinase family protein	Pseudomonas fluorescens	294
A0A0Q0TYB0	A0A0Q0TYB0_9CORY	Cutinase	Corynebacterium oculi	1544416
