Entry	Entry Name	Protein names	Organism	Organism (ID)
A0A841IUE8	A0A841IUE8_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nocardiopsis algeriensis	1478215
A0A8H9GXL4	A0A8H9GXL4_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Microbispora bryophytorum	1460882
A0A917R069	A0A917R069_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Sphaerisporangium melleum	321316
A0A919R7S7	A0A919R7S7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Sphaerisporangium rufum	1381558
A0A940WR16	A0A940WR16_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Microbispora oryzae	2806554
A0A941ALA2	A0A941ALA2_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Microbispora oryzae	2806554
A0A0C2G8Q0	A0A0C2G8Q0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Streptomonospora alba	183763
A0A147KJY8	A0A147KJY8_THECS	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermobifida cellulosilytica TB100	665004
A0A161LKE9	A0A161LKE9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Planomonospora sphaerica	161355
A0A1G7Z2H0	A0A1G7Z2H0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea jiangxiensis	633440
A0A1G8SHF7	A0A1G8SHF7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea maritima	683260
A0A1H5T4B9	A0A1H5T4B9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora echinospora	1992
A0A1H5UML9	A0A1H5UML9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea solani	1144553
A0A1H6AWM6	A0A1H6AWM6_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Thermomonospora echinospora	1992
A0A1H6C9P0	A0A1H6C9P0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora echinospora	1992
A0A1H6CN89	A0A1H6CN89_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Thermomonospora echinospora	1992
A0A1H6EII4	A0A1H6EII4_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea solani	1144553
A0A1H6EZ24	A0A1H6EZ24_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea solani	1144553
A0A1H7U3G5	A0A1H7U3G5_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea pusilla	46177
A0A1H8CDJ8	A0A1H8CDJ8_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea pusilla	46177
A0A1H8CEP3	A0A1H8CEP3_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea pusilla	46177
A0A1I0JU31	A0A1I0JU31_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea wenchangensis	568860
A0A1I4AJK7	A0A1I4AJK7_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium canum	324952
A0A1I4CKC4	A0A1I4CKC4_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium canum	324952
A0A1I4D078	A0A1I4D078_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium canum	324952
A0A1I5FBR0	A0A1I5FBR0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura madurae	1993
A0A1I5RT09	A0A1I5RT09_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura madurae	1993
